user id: 53089764f24644cbc6dec26ffa108400a355e9035ec626ffe6eeac28a49086c9,time: 0.000000,type: SESSION_START_EVENT
user id: 53089764f24644cbc6dec26ffa108400a355e9035ec626ffe6eeac28a49086c9,time: 18.000000,type: SCENE_EVENT,Number scene: 1,Action: ENTER
user id: 53089764f24644cbc6dec26ffa108400a355e9035ec626ffe6eeac28a49086c9,time: 19.000000,type: CLICK_EVENT_SCENE,Position_X: 702,Position_Y: 525,Number scene: 1
user id: 53089764f24644cbc6dec26ffa108400a355e9035ec626ffe6eeac28a49086c9,time: 20.000000,type: CLICK_EVENT_SCENE,Position_X: 702,Position_Y: 525,Number scene: 1
user id: 53089764f24644cbc6dec26ffa108400a355e9035ec626ffe6eeac28a49086c9,time: 20.000000,type: CLICK_EVENT_SCENE,Position_X: 702,Position_Y: 525,Number scene: 1
user id: 53089764f24644cbc6dec26ffa108400a355e9035ec626ffe6eeac28a49086c9,time: 20.000000,type: CLICK_EVENT_SCENE,Position_X: 702,Position_Y: 525,Number scene: 1
user id: 53089764f24644cbc6dec26ffa108400a355e9035ec626ffe6eeac28a49086c9,time: 20.000000,type: CLICK_EVENT_SCENE,Position_X: 702,Position_Y: 525,Number scene: 1
user id: 53089764f24644cbc6dec26ffa108400a355e9035ec626ffe6eeac28a49086c9,time: 20.000000,type: CLICK_EVENT_SCENE,Position_X: 702,Position_Y: 525,Number scene: 1
user id: 53089764f24644cbc6dec26ffa108400a355e9035ec626ffe6eeac28a49086c9,time: 20.000000,type: CLICK_EVENT_SCENE,Position_X: 702,Position_Y: 525,Number scene: 1
user id: 53089764f24644cbc6dec26ffa108400a355e9035ec626ffe6eeac28a49086c9,time: 20.000000,type: CLICK_EVENT_SCENE,Position_X: 702,Position_Y: 525,Number scene: 1
user id: 53089764f24644cbc6dec26ffa108400a355e9035ec626ffe6eeac28a49086c9,time: 21.000000,type: CLICK_EVENT_SCENE,Position_X: 554,Position_Y: 486,Number scene: 1
user id: 53089764f24644cbc6dec26ffa108400a355e9035ec626ffe6eeac28a49086c9,time: 21.000000,type: CLICK_EVENT_SCENE,Position_X: 554,Position_Y: 486,Number scene: 1
