user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 0.000000,type: SESSION_START_EVENT
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 10.000000,type: SCENE_EVENT,Number scene: 0,Action: ENTER
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 16.000000,type: CLICK_EVENT_SCENE,Position_X: 571,Position_Y: 65,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 16.000000,type: CLICK_EVENT_SCENE,Position_X: 571,Position_Y: 65,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 16.000000,type: CLICK_EVENT_SCENE,Position_X: 577,Position_Y: 84,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 17.000000,type: CLICK_EVENT_SCENE,Position_X: 577,Position_Y: 84,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 17.000000,type: CLICK_EVENT_SCENE,Position_X: 577,Position_Y: 84,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 17.000000,type: CLICK_EVENT_SCENE,Position_X: 577,Position_Y: 84,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 17.000000,type: CLICK_EVENT_SCENE,Position_X: 577,Position_Y: 84,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 17.000000,type: CLICK_EVENT_SCENE,Position_X: 577,Position_Y: 84,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 17.000000,type: CLICK_EVENT_SCENE,Position_X: 577,Position_Y: 84,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 18.000000,type: CLICK_EVENT_SCENE,Position_X: 577,Position_Y: 84,Number scene: 0
user id: d7131023fd9827aa394cecaa58eac59bc210b1cbc2caecd8f516ed1ca5bf04b0,time: 18.000000,type: CLICK_EVENT_SCENE,Position_X: 577,Position_Y: 84,Number scene: 0
