user id: dfef385a5d238669d37827f683f8ad90ed6c808d180640ccd05883010d6ad6b3,time: 0.000000,type: SESSION_START_EVENT
user id: dfef385a5d238669d37827f683f8ad90ed6c808d180640ccd05883010d6ad6b3,time: 23.000000,type: SCENE_EVENT,Number scene: 0,Action: ENTER
user id: dfef385a5d238669d37827f683f8ad90ed6c808d180640ccd05883010d6ad6b3,time: 25.000000,type: CLICK_EVENT_SCENE,Position_X: 999,Position_Y: 509,Number scene: 0
user id: dfef385a5d238669d37827f683f8ad90ed6c808d180640ccd05883010d6ad6b3,time: 25.000000,type: CLICK_EVENT_SCENE,Position_X: 995,Position_Y: 510,Number scene: 0
user id: dfef385a5d238669d37827f683f8ad90ed6c808d180640ccd05883010d6ad6b3,time: 25.000000,type: CLICK_EVENT_SCENE,Position_X: 989,Position_Y: 512,Number scene: 0
user id: dfef385a5d238669d37827f683f8ad90ed6c808d180640ccd05883010d6ad6b3,time: 25.000000,type: CLICK_EVENT_SCENE,Position_X: 983,Position_Y: 515,Number scene: 0
user id: dfef385a5d238669d37827f683f8ad90ed6c808d180640ccd05883010d6ad6b3,time: 25.000000,type: CLICK_EVENT_SCENE,Position_X: 969,Position_Y: 521,Number scene: 0
user id: dfef385a5d238669d37827f683f8ad90ed6c808d180640ccd05883010d6ad6b3,time: 26.000000,type: CLICK_EVENT_SCENE,Position_X: 968,Position_Y: 521,Number scene: 0
user id: dfef385a5d238669d37827f683f8ad90ed6c808d180640ccd05883010d6ad6b3,time: 26.000000,type: CLICK_EVENT_SCENE,Position_X: 964,Position_Y: 525,Number scene: 0
user id: dfef385a5d238669d37827f683f8ad90ed6c808d180640ccd05883010d6ad6b3,time: 26.000000,type: CLICK_EVENT_SCENE,Position_X: 960,Position_Y: 529,Number scene: 0
user id: dfef385a5d238669d37827f683f8ad90ed6c808d180640ccd05883010d6ad6b3,time: 26.000000,type: CLICK_EVENT_SCENE,Position_X: 960,Position_Y: 529,Number scene: 0
user id: dfef385a5d238669d37827f683f8ad90ed6c808d180640ccd05883010d6ad6b3,time: 27.000000,type: CLICK_EVENT_SCENE,Position_X: 949,Position_Y: 535,Number scene: 0
user id: dfef385a5d238669d37827f683f8ad90ed6c808d180640ccd05883010d6ad6b3,time: 27.000000,type: CLICK_EVENT_SCENE,Position_X: 949,Position_Y: 535,Number scene: 0
user id: dfef385a5d238669d37827f683f8ad90ed6c808d180640ccd05883010d6ad6b3,time: 28.000000,type: SCENE_EVENT,Number scene: 0,Action: EXIT
user id: dfef385a5d238669d37827f683f8ad90ed6c808d180640ccd05883010d6ad6b3,time: 29.000000,type: SESSION_END_EVENT
