user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 0.000000,type: SESSION_START_EVENT
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 17.000000,type: SCENE_EVENT,Number scene: 1,Action: ENTER
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 18.000000,type: CLICK_EVENT_SCENE,Position_X: 584,Position_Y: 475,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 18.000000,type: CLICK_EVENT_SCENE,Position_X: 584,Position_Y: 475,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 20.000000,type: CLICK_EVENT_SCENE,Position_X: 584,Position_Y: 475,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 20.000000,type: CLICK_EVENT_SCENE,Position_X: 584,Position_Y: 474,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 20.000000,type: CLICK_EVENT_SCENE,Position_X: 584,Position_Y: 474,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 21.000000,type: CLICK_EVENT_SCENE,Position_X: 584,Position_Y: 474,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 21.000000,type: CLICK_EVENT_SCENE,Position_X: 584,Position_Y: 474,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 21.000000,type: CLICK_EVENT_SCENE,Position_X: 584,Position_Y: 474,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 23.000000,type: CLICK_EVENT_SCENE,Position_X: 582,Position_Y: 474,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 23.000000,type: CLICK_EVENT_SCENE,Position_X: 581,Position_Y: 474,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 23.000000,type: CLICK_EVENT_SCENE,Position_X: 581,Position_Y: 474,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 24.000000,type: CLICK_EVENT_SCENE,Position_X: 581,Position_Y: 474,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 26.000000,type: CLICK_EVENT_SCENE,Position_X: 572,Position_Y: 568,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 26.000000,type: CLICK_EVENT_SCENE,Position_X: 572,Position_Y: 568,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 28.000000,type: CLICK_EVENT_SCENE,Position_X: 572,Position_Y: 568,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 30.000000,type: CLICK_EVENT_SCENE,Position_X: 691,Position_Y: 554,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 30.000000,type: CLICK_EVENT_SCENE,Position_X: 692,Position_Y: 560,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 31.000000,type: CLICK_EVENT_SCENE,Position_X: 692,Position_Y: 560,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 34.000000,type: CLICK_EVENT_SCENE,Position_X: 701,Position_Y: 520,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 34.000000,type: CLICK_EVENT_SCENE,Position_X: 701,Position_Y: 520,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 36.000000,type: CLICK_EVENT_SCENE,Position_X: 701,Position_Y: 520,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 36.000000,type: CLICK_EVENT_SCENE,Position_X: 700,Position_Y: 520,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 36.000000,type: CLICK_EVENT_SCENE,Position_X: 696,Position_Y: 532,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 38.000000,type: CLICK_EVENT_SCENE,Position_X: 696,Position_Y: 532,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 38.000000,type: CLICK_EVENT_SCENE,Position_X: 696,Position_Y: 532,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 39.000000,type: CLICK_EVENT_SCENE,Position_X: 707,Position_Y: 532,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 39.000000,type: CLICK_EVENT_SCENE,Position_X: 707,Position_Y: 532,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 40.000000,type: CLICK_EVENT_SCENE,Position_X: 707,Position_Y: 532,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 50.000000,type: CLICK_EVENT_SCENE,Position_X: 671,Position_Y: 525,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 50.000000,type: CLICK_EVENT_SCENE,Position_X: 671,Position_Y: 525,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 51.000000,type: CLICK_EVENT_SCENE,Position_X: 671,Position_Y: 525,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 51.000000,type: CLICK_EVENT_SCENE,Position_X: 671,Position_Y: 525,Number scene: 1
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 58.000000,type: SCENE_EVENT,Number scene: 1,Action: EXIT
user id: fca885f3d7e0988aa383249d6346f6d0dfabb7f6d8489b4590e17838977c6160,time: 59.000000,type: SESSION_END_EVENT
